Subject,Predicate,Object
Suite For Ma Dukes: The Music of James “Dilla” Yancey,foaf:primaryTopic,James Dewitt Yancey
Suite For Ma Dukes: The Music of James “Dilla” Yancey,crm:P11_had_participant,Maureen Yancey
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:producer,Mochilla
Suite For Ma Dukes: The Music of James “Dilla” Yancey,frbroo:R25_was_performed_in,set of instructions for the concert performance
Suite For Ma Dukes: The Music of James “Dilla” Yancey,dc:date,22-Feb-09
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:conductor,Miguel Atwood-Ferguson
Suite For Ma Dukes: The Music of James “Dilla” Yancey,crm:P2_has_type,orchestral concert
Suite For Ma Dukes: The Music of James “Dilla” Yancey,crm:P102_has_title,Suite For Ma Dukes: The Music of James “Dilla” Yancey
Suite For Ma Dukes: The Music of James “Dilla” Yancey,crm:P7_took_place_at,Harriet and Charles Luckman Fine Arts Complex
Suite For Ma Dukes: The Music of James “Dilla” Yancey,dc:isPartOf,Timeless
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:genre,"hip-hop, jazz, classical"
Suite For Ma Dukes: The Music of James “Dilla” Yancey,dc:language,English
Suite For Ma Dukes: The Music of James “Dilla” Yancey,crm:P67_refers_to,Donuts
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:performer,Various performers
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:composer,James Dewitt Yancey
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:available_as,vinyl album
Suite For Ma Dukes: The Music of James “Dilla” Yancey,mo:discogs,https://www.discogs.com/Miguel-Atwood-Ferguson-Mochilla-Presents-Timeless-Suite-For-Ma-Dukes-The-Music-Of-James-J-Dilla-Yanc/release/2554289